country,material,price,currency,unit,source,date,source_url,extraction_date
Hong Kong (China),Apartamento (m2 Centro),25076.98,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Cyprus,Apartamento (m2 Centro),3918.9,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Malaysia,Apartamento (m2 Centro),2163.45,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Oman,Apartamento (m2 Centro),2178.04,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Bosnia And Herzegovina,Apartamento (m2 Centro),2539.45,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Armenia,Apartamento (m2 Centro),3277.49,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Austria,Apartamento (m2 Centro),7316.53,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
South Korea,Apartamento (m2 Centro),13921.84,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Luxembourg,Apartamento (m2 Centro),11521.92,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Brazil,Apartamento (m2 Centro),1807.0,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
