country,material,price,currency,unit,source,date,source_url,extraction_date
Thailand,Apartamento (m2 Centro),4080.66,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Tunisia,Apartamento (m2 Centro),1081.26,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Turkey,Apartamento (m2 Centro),1830.07,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Ukraine,Apartamento (m2 Centro),1452.43,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
United Arab Emirates,Apartamento (m2 Centro),5877.87,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
United Kingdom,Apartamento (m2 Centro),6003.28,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
United States,Apartamento (m2 Centro),3333.89,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Uruguay,Apartamento (m2 Centro),3492.25,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Uzbekistan,Apartamento (m2 Centro),1764.64,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Venezuela,Apartamento (m2 Centro),783.63,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Vietnam,Apartamento (m2 Centro),3436.16,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Zimbabwe,Apartamento (m2 Centro),849.79,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Bolivia,Arena,250.0,BOB,m3,Reportes Locales,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
Argentina,Cemento,9000.0,ARS,bolsa (50kg),Estimado Local,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
Bolivia,Cemento,50.0,BOB,bolsa (50kg),Cadecocruz/Mercado,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
India,Cemento,350.0,INR,bag (50kg),Market Estimate,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
Brasil,Cimento,35.0,BRL,saco (50kg),Varejo,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
China,Concreto,400.0,CNY,m3,Estimate,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
USA,Concreto,150.0,USD,m3,Market Estimate,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
Bolivia,Ladrillo,1.5,BOB,unidad,Promedio Local,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
USA,Madera,600.0,USD,1000 bd ft,TradingEconomics Approx,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
